Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
hsa-miR-324-3p	miRBase	564	-0.024928279826912276	0.8564841305089516	0.5202796998539265	0.904393468267032	down	486,  495,  672,  722,  1803,  2128,  2984,  4117,  4843,  5047,  5573,  6718,  7106,  7541,  7869,  8241,  8260,  8431,  8625,  8842,  10566,  26260,  27134,  27440,  29881,  55340,  56729,  57037,  57214,  60343,  64598,  84310,  84648,  84679,  90957,  113828,  123904,  129807,  136263,  220082,  348094,  353145
hsa-miR-29a	miRBase	623	-0.023649384179325668	0.8633184483113212	0.521842723648517	0.904393468267032	down	416,  495,  1109,  1293,  1301,  1406,  1436,  1946,  2694,  3158,  3906,  4238,  5376,  5436,  5475,  6041,  7103,  8241,  8722,  8840,  8842,  8914,  9581,  10147,  10566,  10626,  11012,  23279,  23582,  26290,  29888,  51442,  54726,  64175,  64782,  78987,  79092,  79753,  83723,  83884,  84279,  90523,  115330,  253982,  342574
Phosphatidylserine	Drug Bank	13	0.12747807141315162	2.208307212815965	0.5219145550478155	0.8179868583369243	up	949,  5286
hsa-miR-519a	miRBase	751	0.02082079811655746	1.1381374387397074	0.5230178949337922	0.904393468267032	up	312,  356,  416,  515,  683,  686,  727,  952,  1203,  2191,  3003,  3744,  3906,  4117,  4168,  4319,  4752,  5153,  7103,  7141,  7392,  7541,  8600,  8707,  8777,  8842,  9068,  10147,  10157,  10934,  10979,  25788,  26260,  27097,  50814,  51442,  51561,  51601,  55094,  56654,  56923,  63895,  79971,  80896,  84071,  84102,  84693,  84930,  91543,  129807,  140890,  144809,  151887,  161003,  219844,  286006,  338323,  353140,  375307,  399967
hsa-miR-616	miRBase	445	-0.027825945085297763	0.8411987310341432	0.5231364331140531	0.904393468267032	down	356,  4477,  4752,  6354,  6519,  8318,  9113,  9194,  9581,  10283,  10507,  27237,  51504,  51564,  54951,  79228,  79774,  83733,  90362,  90523,  115330,  132724,  152206,  199974,  339896,  375307,  389376,  399967
hsa-miR-369-5p	miRBase	547	-0.025085649475590832	0.8556469064658981	0.5238394875822673	0.904393468267032	down	1308,  2173,  2309,  2444,  2876,  3751,  4114,  4312,  5148,  5232,  5314,  6296,  7050,  7541,  23408,  23539,  23562,  29844,  51106,  51504,  51693,  55055,  55601,  55716,  55897,  57037,  79868,  80201,  83733,  84936,  84946,  124912,  148979,  202865,  342926,  388646
Halothane	Drug Bank	12	-0.17990622035995132	0.3269177548286171	0.5251273658459267	0.8179868583369243	down	
hsa-miR-99a	miRBase	509	0.024781214240799394	1.166497342984624	0.5260168635209034	0.905489439550646	up	258,  332,  356,  790,  1301,  1314,  1506,  1588,  2186,  2207,  2309,  3292,  4117,  4319,  4358,  4481,  4692,  5475,  5624,  6768,  7678,  9427,  10469,  23385,  23408,  26133,  27242,  27440,  51263,  55897,  56654,  63827,  79774,  84310,  84648,  84936,  91894,  91977,  129807,  160298,  399967
hsa-miR-138	miRBase	525	0.024282551270289388	1.1628879692312455	0.5284637477215448	0.9068603156925434	up	326,  486,  686,  952,  1308,  1769,  1856,  2207,  2242,  3293,  3439,  3447,  3623,  3884,  4908,  5153,  5693,  6403,  6768,  7047,  7106,  7169,  8237,  8914,  9968,  10677,  25960,  27134,  49860,  50700,  54752,  54910,  55285,  55662,  55867,  56942,  57062,  79774,  80896,  81285,  84707,  84734,  92106,  114132,  115330,  122011,  160298,  200909,  202865,  205147,  256369,  286464
hsa-let-7d	miRBase	688	0.021232006575068397	1.1410496678151651	0.5318244244470215	0.9068603156925434	up	52,  56,  339,  356,  417,  486,  710,  1081,  1118,  1414,  2876,  2984,  3283,  3596,  3623,  3671,  3884,  3990,  4815,  4908,  5225,  5333,  5436,  6165,  6779,  7596,  8106,  9897,  10407,  10720,  10771,  22807,  23165,  23646,  25789,  25791,  26260,  51666,  54910,  55340,  56676,  60343,  63827,  79648,  79906,  79971,  83733,  84916,  89845,  90957,  90990,  115352,  122769,  129804,  130120,  135927,  154075,  163778,  171558,  280658,  338323,  353140
