EntrezID	p.value	HPV+/HPV-
3709	0.015650493	1.52
NA	0.015675761	2.29
54811	0.0156903	2.65
1739	0.015709796	3.58
79959	0.015719696	2.91
4507	0.015755327	7.29
2161	0.015785944	4.53
NA	0.015856201	1.51
3572	0.015871677	-1.70
NA	0.015897085	-1.38
5094	0.015927611	-2.34
NA	0.015938049	-1.35
2888	0.015974746	4.26
10570	0.015996698	-8.76
8863	0.015997131	2.50
51156	0.015997517	-1.48
NA	0.016003552	2.53
11320	0.016022212	1.89
22881	0.016046256	-3.90
NA	0.016047712	1.33
84188	0.016097234	2.06
10658	0.016099437	1.49
55016	0.016115827	1.27
56654	0.016121693	4.11
4361	0.016138927	2.35
6788	0.016140751	2.00
148203	0.016140845	-8.12
3280	0.016174603	-1.27
229	0.016201792	-1.32
NA	0.016202391	-1.28
340542	0.016207389	-9.03
26054	0.01624919	1.71
6401	0.016285224	1.22
55711	0.016307438	4.87
440993	0.016321018	2.37
3553	0.016322601	9.98
22824	0.016345026	2.81
2028	0.016356737	-1.48
3293	0.016392562	8.26
55848	0.01639509	2.60
8309	0.016402637	-2.08
NA	0.016415981	-1.39
7351	0.016418562	15.36
8727	0.01653575	2.31
6938	0.016542123	-1.33
NA	0.016616919	-1.22
54622	0.016642077	1.77
10984	0.01666822	-1.35
23250	0.016674855	4.33
149603	0.016687259	-2.37
266977	0.016699874	2.21
NA	0.016742161	-1.51
8361	0.016746755	-1.41
51773	0.016754673	2.76
84858	0.016783444	-2.62
NA	0.016792512	1.30
NA	0.016796206	-3.14
59348	0.016796359	-2.30
56977	0.016830778	-1.79
150051	0.016847805	3.37
NA	0.016898365	1.73
56704	0.01691361	10.66
253639	0.016925671	-1.25
22837	0.01698932	1.51
NA	0.016992812	3.12
NA	0.017049498	1.39
NA	0.017049854	-1.37
79690	0.017054997	2.50
340146	0.017058276	1.58
NA	0.017059858	1.29
84501	0.017144617	1.56
6744	0.017159013	4.38
9037	0.017163178	3.08
NA	0.017181863	-1.23
728081	0.017209093	-1.26
9920	0.017230472	1.75
7170	0.017303934	-2.74
5136	0.017314306	-1.43
79812	0.017339419	2.07
NA	0.017363624	2.04
145282	0.017385315	-1.38
56131	0.017405065	-1.60
115207	0.017408086	7.50
57579	0.01742817	3.17
1739	0.017430554	3.00
92092	0.017486631	2.70
NA	0.01750285	-1.93
91319	0.017504684	2.62
399972	0.01750774	-2.10
163051	0.017532859	-1.42
51087	0.017602021	3.44
83694	0.017603604	-1.85
1844	0.017673521	3.29
55785	0.017685208	3.18
4354	0.017698748	-7.84
7850	0.017745345	1.79
NA	0.017752607	-1.26
NA	0.017754937	4.27
92610	0.017768996	-1.55
8476	0.017816753	-3.15
6549	0.01783631	-1.37
339324	0.017902783	3.11
90871	0.017937603	1.79
129642	0.017949121	2.47
353189	0.017997449	-1.25
55258	0.018018496	-3.37
90342	0.018036416	-1.28
3284	0.01803849	-1.25
57475	0.018047004	2.37
340481	0.018073832	1.34
3689	0.018074118	11.50
79774	0.018081635	1.78
1363	0.018084605	-2.50
6910	0.018095056	-1.33
144715	0.018173543	1.52
22829	0.018180855	1.20
NA	0.018183327	-3.00
284161	0.018194576	1.56
83857	0.018231435	-6.87
9444	0.018278315	-1.45
83935	0.018284069	5.58
28970	0.018296419	3.14
80025	0.018333126	1.87
NA	0.018333137	-1.52
NA	0.018377017	-3.59
84230	0.0184788	1.47
NA	0.018503373	-1.74
4257	0.018506591	57.21
NA	0.018511557	1.40
8613	0.018692485	-7.35
2273	0.018724585	-3.84
1731	0.018787561	-1.53
2618	0.018792007	2.15
541473	0.018834586	4.51
NA	0.01883896	-1.34
23779	0.018848437	1.78
79755	0.018864104	1.62
7474	0.018898732	-68.48
23049	0.018912836	1.75
375449	0.018980664	2.43
650392	0.018989221	-1.33
4430	0.019004028	2.37
23105	0.019023056	-1.47
126917	0.019046403	4.06
51768	0.019072429	3.22
NA	0.019094001	1.32
4145	0.019099331	-1.89
2778	0.019117855	1.77
7084	0.019131402	-2.35
NA	0.019210549	1.50
64284	0.019245753	3.15
374739	0.019250668	-1.59
147660	0.019258306	-1.27
NA	0.019261339	1.67
NA	0.019269914	-1.37
117581	0.019283218	-1.36
NA	0.019296072	-1.50
NA	0.019389081	-2.15
2767	0.019418789	-2.33
286151	0.019424521	-2.47
8479	0.019428376	-1.81
79001	0.019439308	-2.64
114625	0.019447879	-2.67
858	0.019448233	1.86
56063	0.019456894	-1.68
1186	0.019480903	-1.94
NA	0.019486118	-4.85
10468	0.01949603	17.85
1021	0.019531749	3.71
57568	0.019532338	-8.13
53836	0.019536692	12.03
9223	0.019546833	1.22
NA	0.019547416	1.62
150696	0.019580803	31.32
9050	0.019580917	4.11
54661	0.019584798	-1.34
NA	0.019615402	-1.22
54331	0.01964686	-1.93
NA	0.019686458	1.48
85449	0.019716655	1.54
NA	0.019744374	1.29
57589	0.01975542	2.44
257397	0.019803909	2.91
8451	0.019810451	4.79
5074	0.019827656	2.12
3875	0.019827792	2.43
10644	0.01983771	2.44
375484	0.019843447	2.72
NA	0.019860547	1.40
7456	0.019933582	-3.21
NA	0.019949406	-1.41
NA	0.019966302	-1.31
80705	0.019978657	-1.26
2796	0.019991033	-1.28
23176	0.019997159	-1.55
NA	0.020019045	1.28
128977	0.020025679	4.27
1066	0.020140591	-10.30
645460	0.020156723	1.41
NA	0.020182317	-1.81
56938	0.02018457	3.62
139411	0.020196245	1.43
5228	0.020197204	-2.16
NA	0.020204508	1.36
5268	0.02023986	3.68
26013	0.020282844	1.37
NA	0.020289836	1.44
NA	0.020296925	1.33
6041	0.020305118	-2.12
56704	0.020320014	1.48
NA	0.020362761	1.37
158158	0.020373629	-3.13
55900	0.020384057	2.55
11151	0.020469256	2.06
375449	0.020502452	1.56
2770	0.020506845	2.91
26232	0.020579998	3.97
NA	0.020586141	1.29
NA	0.020607553	2.75
23286	0.020664486	2.84
84186	0.020672069	1.73
9020	0.020690093	2.85
9295	0.020731524	2.03
375449	0.020776986	2.68
NA	0.02080505	-1.32
NA	0.020837668	1.59
56128	0.020915875	-1.75
NA	0.020960167	1.28
153346	0.020982675	4.69
346389	0.020985877	3.33
54586	0.021004221	1.44
8556	0.021030653	1.33
NA	0.021034209	1.39
9935	0.021036702	-11.29
83990	0.021038345	1.59
29015	0.021045549	9.27
55191	0.021157636	1.70
NA	0.021159258	1.54
6744	0.0211647	2.70
340591	0.021166639	1.83
419	0.021219932	1.25
64399	0.021258328	-1.35
134218	0.021283558	1.83
NA	0.021295413	-1.27
3257	0.021306717	-2.53
604	0.021328011	-2.21
NA	0.021369253	-1.36
284370	0.021371693	-1.99
7181	0.021379404	2.37
55789	0.021417459	1.29
NA	0.0214194	-1.37
6579	0.021448293	-1.31
57172	0.02145305	-1.47
NA	0.021459796	1.31
55534	0.021465628	-1.31
NA	0.021495399	2.42
NA	0.021514078	1.42
1390	0.02153469	-2.56
125058	0.021551002	-1.83
5074	0.021572314	3.23
80237	0.021589697	2.72
NA	0.021614503	1.23
534	0.021625005	-1.76
7903	0.021667789	-1.99
1002	0.02167527	-1.57
NA	0.021716342	-3.02
2767	0.021746829	-2.26
NA	0.021770099	-1.91
286205	0.021778704	2.05
9987	0.021785096	-1.37
63924	0.021803413	-1.81
1382	0.021844457	9.52
9037	0.021912527	5.60
8905	0.021913346	-2.39
26018	0.021957943	-9.18
3298	0.021976983	1.58
2069	0.021981807	-42.70
339488	0.021995881	-1.55
91107	0.021998911	2.80
6546	0.022043815	-1.25
84196	0.02206487	2.53
84253	0.022080833	1.29
317719	0.02210178	-1.40
NA	0.022154793	1.21
8796	0.022161922	5.12
226	0.022175022	-1.59
22925	0.022255992	-1.25
NA	0.022314334	-1.20
162972	0.02233834	-2.49
3708	0.022350495	-4.51
5992	0.022355197	-1.19
26065	0.022357752	2.42
